country,leader_type,salary_usd
:sg: Singapore,Prime minister,1695000
:ch: Switzerland,President,603000
:de: Germany,Chancellor,417000
:au: Australia,Prime minister,400000
:us: United States of America,President,400000
:at: Austria,Chancellor,327000
:be: Belgium,Prime minister,309000
:ca: Canada,Prime minister,303000
:nz: New Zealand,Prime minister,301000
:dk: Denmark,Prime minister,300000
:gl: Greenland,Prime minister (Denmark),300000
:lu: Luxembourg,Prime minister,294000
:ie: Ireland,Taoiseach,284000
:ky: Cayman Islands,Premier,283000
:jp: Japan,Prime minister,270000
:ae: United Arab Emirates,Prime minister,261000
:uy: Uruguay,President,258000
:se: Sweden,Prime minister,250000
:nl: Netherlands,Prime minister,235000
:gb: United Kingdom,Prime minister,224000
:hu: Hungary,Prime minister,216000
:il: Israel,Prime minister,209000
:bm: Bermuda,Premier,207000
:fi: Finland,Prime minister,199000
:no: Norway,Prime minister,199000
:bh: Bahrain,Prime minister,196000
:is: Iceland,Prime minister,195000
:tc: Turks and Caicos Islands,Premier,195000
:kr: South Korea,President,172000
:fr: France,President,171000
:za: South Africa,President,170000
:cz: Czechia,Prime minister,153000
:tt: Trinidad and Tobago,Prime minister,142000
:fj: Fiji,Prime minister,141000
:ke: Kenya,President,136000
:cy: Cyprus,President,130000
:ru: Russia,President,127200
:ee: Estonia,Prime minister,123600
:pe: Peru,President,119000
:mx: Mexico,President,119000
:co: Colombia,President,104000
:kn: St. Kitts and Nevis,Prime minister,98000
:es: Spain,Prime minister,97900
:gr: Greece,Prime minister,97700
:na: Namibia,President,96600
:cl: Chile,President,94200
:mv: Maldives,President,93300
:it: Italy,Prime minister,91500
:bs: Bahamas,Prime minister,86000
:pg: Papua New Guinea,Prime minister,83500
:lt: Lithuania,Prime minister,83000
:pt: Portugal,Prime minister,80100
:bw: Botswana,Prime minister,78100
:si: Slovenia,Prime minister,77500
:bg: Bulgaria,Prime minister,77200
:vu: Vanuatu,Prime Minister,75000
:mh: Marshall Islands,President,75000
:hr: Croatia,Prime minister,72900
:mu: Mauritius,Prime minister,72500
:lv: Latvia,Prime minister,71600
:pl: Poland,Prime minister,70600
:tr: Türkiye,President,70300
:py: Paraguay,President,70100
:mt: Malta,President,68200
:sk: Slovakia,Prime minister,67300
:br: Brazil,President,66500
:nr: Nauru,President,64300
:my: Malaysia,Prime minister,64200
:ag: Antigua and Barbuda,Prime minister,63200
:by: Belarus,President,62200
:jm: Jamaica,Prime minister,56900
:al: Albania,Prime minister,55600
:gh: Ghana,President,54000
:rw: Rwanda,President,50800
:th: Thailand,Prime minister,46000
:tz: Tanzania,President,42100
:ls: Lesotho,Prime minister,42000
:ar: Argentina,President,36100
:ua: Ukraine,Prime minister,27700
:bt: Bhutan,Prime minister,26200
:in: India,Prime minister,22800
:id: Indonesia,President,22000
:cn: China,President,19000
:tn: Tunisia,President,17500
:ge: Georgia,Prime minister,15200
:ug: Uganda,President,12100
:bd: Bangladesh,President,11800
:eg: Egypt,President,10300
:vn: Vietnam,Prime minister,8500
:lr: Liberia,President,7800
:er: Eritrea,President,6000
:mz: Mozambique,President,5400
:pk: Pakistan,President,4500
:lk: Sri Lanka,Prime minister,3900
:mn: Mongolia,Prime minister,3600
:ng: Nigeria,President,2300
:et: Ethiopia,Prime minister,1400